ap_type,coarse_error_mean,coarse_error_median,coarse_error_std,coarse_error_min,coarse_error_max,final_error_mean,final_error_median,final_error_std,final_error_min,final_error_max,improvement_mean,improvement_median,improvement_std
est_ap,7.714417286352419,4.612286371508776,6.689437057538379,1.4706806817080857,17.685568897140993,5.771501008744045,3.848871550219722,5.2709435775726385,0.2799917601071886,15.776950588542128,22.80829201121927,34.6383358658224,40.36231485958549
true_ap,9.6378854383075,9.962703923415017,5.809947139045052,1.2039305515670782,17.075039182246257,6.491917768168858,7.150684335384845,3.438237518871618,0.5951216026613845,11.064714065851959,29.920402947361715,35.63996296006792,19.464131338028242
all,8.67615136232996,6.749446356073442,6.133662833159321,1.2039305515670782,17.685568897140993,6.131709388456452,5.697945529522228,4.315138199934084,0.2799917601071886,15.776950588542128,26.364347479290494,35.22073887177676,30.830840160300838
